price,date_time
2279,2024-09-01 22:46:52
2279,2024-09-01 22:47:06
2279,2024-09-02 12:57:30
2279,2024-09-02 12:58:14
2279,2024-09-02 16:20:00
2279,2024-09-02 16:20:03
2279,2024-09-02 16:20:06
2279,2024-09-02 16:20:10
2279,2024-09-02 16:20:13
2279,2024-09-02 16:20:16
2279,2024-09-02 16:20:19
2279,2024-09-02 16:20:22
2279,2024-09-02 16:20:24
2279,2024-09-02 16:20:27
2279,2024-09-02 16:20:30
2279,2024-09-02 16:20:33
2279,2024-09-02 16:21:40
2279,2024-09-02 16:21:44
2279,2024-09-02 16:21:47
2279,2024-09-02 16:21:50
2279,2024-09-02 16:21:53
2279,2024-09-02 16:21:56
2279,2024-09-02 16:21:59
2279,2024-09-02 16:22:02
2279,2024-09-02 16:22:06
2279,2024-09-02 16:22:09
2279,2024-09-02 16:22:12
2279,2024-09-02 16:22:16
2279,2024-09-02 16:22:18
2279,2024-09-02 16:22:24
2279,2024-09-02 16:22:27
2279,2024-09-02 16:22:31
2279,2024-09-02 16:22:34
2279,2024-09-02 16:48:03
2279,2024-09-02 16:49:04
